???p??,?`????,?@.?A?L?????~???~,1.?A???~,2.?V?b???~,3.?L???~,4.?????~,?G.?g?????q???~,1.???o?????M??,2.?g???????????L?q???~,?T.?s?y?~???~,1.???~???}?~,2.????,3.????,4.?????~,5.???????A???~,6.?????????s?~,7.?????s?~,8.?????B???B???s?~???L???~,9.???o?????s?~,10.?????????????s?~?P???~,11.???????????s?~,12.?D?????q???s?~,13.????????,14.?????s?~,15.?q?l?s????,16.?q???B?q?l???~???????s?~,17.?q?O?]?????t??,18.?????]??,19.?B???u?????s??,20.?a???????]?~,21.?????u?~?s?~,?|.???q?U??,1.??,2.?q,3.?U??
110?~1??,93.51,98.22,100.73,96.51,96.95,93.55,99.56,94.22,99.95,93.09,97.24,99.26,99.8,95.77,99.98,99.19,93.57,94.38,83.86,87.01,98.24,98.79,84.43,87.11,97.32,98.96,93.09,98.75,99.84,97.83,97.93,96.4,91.43,97.78,90.94
110?~2??,94.67,94.01,91.42,96.83,97.71,96.39,99.61,94.22,100,94.56,99.42,99.29,99.78,96.53,99.79,98.95,95.01,96.79,88.07,90.52,98.29,98.57,87.4,88.16,97.65,99.25,94.65,98.7,99.68,97.67,98.04,96.82,100.03,97.78,90.94
110?~3??,97.36,92.6,88.7,96.03,98.07,98.03,99.61,94.22,100,97.59,99.42,99.79,99.79,97.89,100.22,99.38,95.74,98.31,93.31,100.38,99.03,98.26,89.53,90.82,99.46,100.21,96.37,98.86,99.82,97.9,100.22,96.83,100.85,97.75,90.94
110?~4??,98.58,93.65,88.13,98.07,99.78,102.35,99.97,99.51,100,98.89,99.26,99.7,99.77,99.09,99.83,99.53,98.83,99.15,94.55,103.02,100.17,99.44,92.11,93.82,99.85,100.75,98.67,99.35,100.04,99.47,100.5,97.65,100.85,97.89,95.44
110?~5??,99.25,98.69,97.89,100.67,99.95,96.91,100.16,102.23,100,99.4,100.03,99.87,99.7,99.41,99.44,98.94,99.89,99.42,95.95,102.21,100.11,99.52,98.01,96.53,99.27,99.92,100.41,99.2,99.58,99.74,100.19,97.21,100.85,96.87,97.82
110?~6??,100.05,96.73,91.31,104.09,101.36,98.39,100.16,102.23,100,100.2,99.73,99.89,99.68,99.77,99.59,98.61,99.93,100.83,99.37,100.08,99.84,99.63,102.21,99.7,100.42,99.68,102.13,99.27,99.48,99.52,99.85,100.2,100.85,100.63,97.82
110?~7??,101.17,98.29,94.93,102.69,101.36,99.67,100.16,102.23,100,101.29,99.16,100.1,99.72,100.76,99.86,100.27,101.34,101.47,104.41,99.98,99.88,100.07,105.03,102.46,100.99,101.21,101.78,99.96,99.94,100.74,100.34,101.83,100.85,102.32,99.66
110?~8??,102.04,108.84,114.57,104.81,101.12,98.51,100.16,102.23,100,101.58,99.87,100.41,99.69,101.22,99.58,100.65,101.68,101.34,102.58,100.45,99.93,100.4,107.19,104.6,101.06,100.24,101.63,100.24,99.9,100.68,99.99,104.36,100.85,105.12,101.56
110?~9??,102.08,103.36,107.3,100.07,101.09,97.43,100.16,102.23,100,101.85,100.52,100.32,99.82,101.08,99.57,100.19,102.84,101.3,103.62,101.92,99.88,100.37,107.94,106.71,100.17,99.36,101.39,100.51,99.99,100.59,99.96,104.8,100.85,105.29,103.51
110?~10??,103.81,106.83,113.24,97.65,101.03,105.99,100.16,102.23,100,103.87,101.09,100.28,100.77,102.59,100.13,101.38,103.59,101.81,112.31,106.32,101.07,100.71,109.69,109.26,100.37,100.49,102.39,101.65,100.49,102,101.28,100.5,100.85,99.21,106.87
110?~11??,104.31,105.55,107.79,101.49,100.79,107.2,100.16,102.23,100,104.45,101.79,100.62,100.75,102.84,100.81,101.63,103.58,102.06,115.35,106.46,101.94,101.57,109.12,110.53,101.14,100.12,103.79,101.72,100.55,101.79,100.87,101.29,100.85,99.52,110.4
